AREA,TAVE,TMAX,TMIN,RF,MWUTM,IW,CHA,CHM,PS,RD,SS
阿里山,7.3,18.1/12,-0.170588235,64.9,6.0/130.0/15,12.2/280.0/16,76,18/18,762.3,4,173
鞍部,11.2,22.9/12,1.6/27,261.5,11.6/350.0/16,22.0/360.0/16,83,18/28,922.2,8,125.1
板橋,16.9,29.1/12,5.6/28,87.6,6.3/80.0/15,14.2/90.0/15,72,32/28,1015.9,8,166.6
成功,19.5,27.0/5,12.6/31,22.4,11.6/20.0/16,21.8/40.0/16,72,39/29,1011.5,13,82
嘉義,17.6,30.1/13,5.6/18,32.7,9.2/10.0/26,14.8/360.0/16,76,30/28,1012.2,3,206.1
大武,20.8,28.3/13,12.8/27,13.3,8.3/20.0/14,14.5/350.0/16,68,42/28,1014.5,3,121.1
東吉島,19.9,26.3/13,13.2/16,10.5,24.3/20.0/16,32.8/10.0/16,69,38/30,1010.2,1,179.1
恆春,21.4,29.5/13,14.3/17,1.2,13.4/40.0/3,27.4/50.0/16,69,47/21,1011.5,2,175.8
新竹,16.4,25.2/1,5.8/18,61.1,8.0/20.0/16,19.6/110.0/16,74,31/29,1013.2,6,177
花蓮,18.8,26.6/2,10.5/28,20.2,12.4/40.0/16,23.7/50.0/16,66,14855,1014.1,9,98.8
高雄,20.9,29.5/6,11.3/27,11.5,8.0/350.0/26,16.6/350.0/26,67,43038,1014.3,1,188.5
基隆,16.9,27.7/12,6.4/27,198.6,15.2/20.0/16,23.3/40.0/16,69,34/29,1014.1,8,116.2
金門,14.8,25.8/6,3.2/17,34.1,8.1/60.0/24,18.1/50.0/15,73,27/31,1015,3,186.7
蘭嶼,18.8,25.3/13,13.5/31,68.7,22.8/20.0/16,36.5/30.0/16,78,18872,977.3,15,92.1
馬祖,13.5,23.2/2,3.2/17,41.1,9.5/360.0/15,21.6/10.0/24,75,31/27,1008.7,6,180
澎湖,19,27.2/13,11.9/17,13.1,11.8/20.0/16,24.3/10.0/16,70,14855,1014.7,2,188.1
彭佳嶼,17,24.1/5,7.9/27,91,20.0/10.0/16,29.9/360.0/16,71,12632,1005.5,8,139.8
蘇澳,17.2,25.6/2,7.8/27,341,11.7/70.0/24,22.5/360.0/16,73,14855,1014.1,11,109.3
日月潭,14.5,25.6/1,5.4/27,35.5,6.9/170.0/16,9.3/170.0/16,73,33/28,902.2,5,168.4
臺中,18.1,28.7/5,7.5/27,27.4,6.9/30.0/16,17.5/30.0/16,67,43008,1005.5,3,201.3
臺南,19.2,29.5/13,9.0/27,14.5,10.7/10.0/16,19.7/360.0/26,66,35/31,1012.6,1,205.5
臺北,17.5,29.7/12,7.2/27,63.4,7.5/70.0/15,17.6/70.0/15,70,33/28,1016.5,6,163
臺東,20.1,27.9/14,12.6/28,12.6,7.9/40.0/16,18.1/60.0/16,66,37/28,1014.4,6,113.9
淡水,16.2,27.5/12,5.2/31,100.1,8.7/20.0/16,19.8/350.0/16,74,38/29,1015.1,6,158.5
梧棲,17.3,25.6/13,8.3/18,24,17.0/360.0/16,35.7/40.0/16,71,34/30,1012.9,2,214.9
宜蘭,17.1,26.1/6,6.8/26,92.2,8.9/40.0/24,13.8/310.0/17,73,35/28,1016.3,10,137.1
玉山,-0.2,14.0/13,-0.664705882,52.1,16.8/280.0/16,31.5/300.0/16,56,14/20,639.1,4,241.1
竹子湖,12.9,24.4/12,2.1/26,224.2,9.1/20.0/15,18.0/330.0/16,77,13/28,947.1,9,151.7
